control_number,specific_name,generic_name,category,qty,unit,origin,ship_date
2014406402,VERVET,MONKEY,TRO,2,NO,ZA,1/20/14
2014406402,,BLESBOK,TRO,1,NO,ZA,1/20/14
2014406402,BLUE,WILDEBEEST,TRO,1,NO,ZA,1/20/14
2014406402,,GEMSBOK,TRO,1,NO,ZA,1/20/14
2014406402,,IMPALA,TRO,2,NO,ZA,1/20/14
2014406402,COMMON,WARTHOG,TRO,2,NO,ZA,1/20/14
2014406402,,WATERBUCK,TRO,2,NO,ZA,1/20/14
2014406410,OLIVE,FLOUNDER,LIV,168,NO,KR,1/22/14
2014406410,,SEA PINEAPPLE,LIV,100,NO,KR,1/22/14
2014406410,WHIPARM,OCTOPUS,LIV,20,NO,KR,1/22/14
2014406411,AMERICAN,MINK,SKI,19453,NO,SE,1/22/14
2014406412,AMERICAN,MINK,SKI,1850,NO,NL,1/22/14
2014406414,AMERICAN,MINK,SKI,11088,NO,ES,1/22/14
2014406415,AMERICAN,MINK,SKI,2054,NO,IE,1/22/14
2014406416,,GOLDFISH,LIV,15390,NO,CN,1/21/14
2014406416,NEON,TETRA,LIV,2900,NO,CN,1/21/14
2014406416,,SHRIMP,LIV,800,NO,CN,1/21/14
2014406419,CAPIZ,SHELL,SPR,648,NO,ID,1/24/14
2014406419,CAPIZ,SHELL,SPR,66,NO,ID,1/24/14
2014406421,CAPIZ,SHELL,SPR,142,NO,ID,1/24/14
2014406424,,ELK,MEA,16450,KG,NZ,1/22/14
2014406429,,MUSSEL,SPR,1440,NO,CN,1/23/14
2014406429,COMMON,PHEASANT,FEA,1872,NO,CN,1/23/14
2014406429,SOUTHERN AFRICAN,OSTRICH,FEA,4176,NO,ZA,1/23/14
2014406444,,SQUID,MEA,19976,KG,CN,1/23/14
2014406518,TROPICAL,FISH,LIV,7005,NO,TH,1/22/14
2014406518,"CRABS, LOBSTERS,",CRUSTACEANS,LIV,100,NO,TH,1/22/14
2014406788,,BUSHBUCK,TRO,1,NO,ZA,1/18/14
2014406788,AFRICAN,LION,TRO,1,NO,ZA,1/18/14
2014406788,AFRICAN,LION,TRO,1,NO,ZA,1/18/14
2014406788,,NYALA,TRO,1,NO,ZA,1/18/14
2014406788,COMMON,WARTHOG,TRO,1,NO,ZA,1/18/14
2014406883,PEARL,MUSSEL,SPR,2268,NO,CN,1/18/14
2014406937,RADIATED RAT,SNAKE,SHO,15104,NO,ID,1/21/14
2014406950,,SQUID,MEA,522,KG,VN,1/23/14
2014406956,NORTHERN SHORTFIN,SQUID,MEA,33,KG,KR,1/23/14
2014406964,GREAT PEARL,OYSTER,JWL,188,NO,PH,1/22/14
2014406964,ABALONE,SHELL,JWL,185,NO,NZ,1/22/14
2014406964,,SHELL,JWL,50,NO,US,1/22/14
2014406964,,OYSTER,JWL,31,NO,PF,1/22/14
2014406964,,SEA FAN,JWL,4,NO,CN,1/22/14
2014406964,,OYSTER,JWL,8,NO,PH,1/22/14
2014407198,N. AMERICAN BROWN,BEAR,CLA,3,NO,CA,1/17/14
2014407735,,SHELL,SPR,300,NO,CN,1/24/14
2014407882,BEKA,SQUID,MEA,136,KG,KR,1/26/14
2014407882,,SEA PINEAPPLE,MEA,500,KG,KR,1/26/14
2014407882,GOLDEN,CUTTLEFISH,MEA,240,KG,KR,1/26/14
2014408107,AMERICAN,MINK,SKI,21577,NO,SE,1/24/14
2014408866,SWAN,MUSSEL,SPR,1980,NO,CN,1/28/14
2014408870,CAPIZ,SHELL,SPR,158,NO,IN,1/28/14
2014409191,,SHELL,SHE,309,KG,TH,1/24/14
2014409191,SEA,SCALLOP,SHE,175,KG,TH,1/24/14
2014409191,SEA,SCALLOP,SHE,193,KG,TH,1/24/14
2014409191,,MELAMPUS,SHE,186,KG,TH,1/24/14
2014409318,AMERICAN,MINK,SKI,14457,NO,GR,1/27/14
2014409351,AMERICAN,MINK,SKI,1735,NO,IE,1/27/14
2014409358,AMERICAN,MINK,SKI,400,NO,GR,1/27/14
2014409387,,HARTEBEEST,TRO,1,NO,ZA,1/21/14
2014409387,,WATERBUCK,TRO,1,NO,ZA,1/21/14
2014409387,GREATER,KUDU,TRO,1,NO,ZA,1/21/14
